DRR069093.orthomerged,DRR069093.shannon,DRR069093.spades55,DRR069093.spades75,DRR069093.trinity
1.0,0.6218,0.7608,0.7316,0.797
0.6218,1.0,0.5884,0.6432,0.5924
0.7608,0.5884,1.0,0.7326,0.7274
0.7316,0.6432,0.7326,1.0,0.6808
0.797,0.5924,0.7274,0.6808,1.0
