DRR031870.orthomerged,DRR031870.shannon,DRR031870.spades55,DRR031870.spades75,DRR031870.trinity
1.0,0.5936,0.697,0.7214,0.8426
0.5936,1.0,0.4902,0.5818,0.575
0.697,0.4902,1.0,0.7452,0.6824
0.7214,0.5818,0.7452,1.0,0.7074
0.8426,0.575,0.6824,0.7074,1.0
