DRR036858.orthomerged,DRR036858.shannon,DRR036858.spades55,DRR036858.spades75,DRR036858.trinity
1.0,0.3918,0.7176,0.5882,0.7302
0.3918,1.0,0.3778,0.52,0.3758
0.7176,0.3778,1.0,0.6254,0.6934
0.5882,0.52,0.6254,1.0,0.572
0.7302,0.3758,0.6934,0.572,1.0
