ERR1016675.orthomerged,ERR1016675.shannon,ERR1016675.spades55,ERR1016675.spades75,ERR1016675.trinity
1.0,0.52,0.7398,0.6224,0.7746
0.52,1.0,0.5,0.6362,0.49
0.7398,0.5,1.0,0.6378,0.6668
0.6224,0.6362,0.6378,1.0,0.5814
0.7746,0.49,0.6668,0.5814,1.0
