SRR3499127.orthomerged,SRR3499127.shannon,SRR3499127.spades55,SRR3499127.spades75,SRR3499127.trinity
1.0,0.5628,0.7814,0.786,0.6414
0.5628,1.0,0.5316,0.5448,0.6036
0.7814,0.5316,1.0,0.7386,0.594
0.786,0.5448,0.7386,1.0,0.6048
0.6414,0.6036,0.594,0.6048,1.0
