DRR046632.orthomerged,DRR046632.shannon,DRR046632.spades55,DRR046632.spades75,DRR046632.trinity
1.0,0.0042,0.685,0.1486,0.7492
0.0042,1.0,0.0038,0.0298,0.0032
0.685,0.0038,1.0,0.1374,0.6194
0.1486,0.0298,0.1374,1.0,0.1336
0.7492,0.0032,0.6194,0.1336,1.0
