SRR1789336.orthomerged,SRR1789336.shannon,SRR1789336.spades55,SRR1789336.spades75,SRR1789336.trinity
1.0,0.541,0.7772,0.7226,0.852
0.541,1.0,0.5072,0.6298,0.5178
0.7772,0.5072,1.0,0.739,0.7288
0.7226,0.6298,0.739,1.0,0.6882
0.852,0.5178,0.7288,0.6882,1.0
