ERR1674585.orthomerged,ERR1674585.shannon,ERR1674585.spades55,ERR1674585.spades75,ERR1674585.trinity
1.0,0.3554,0.7776,0.5344,0.77
0.3554,1.0,0.3728,0.5978,0.3826
0.7776,0.3728,1.0,0.547,0.6262
0.5344,0.5978,0.547,1.0,0.5178
0.77,0.3826,0.6262,0.5178,1.0
