SRR2086412.orthomerged,SRR2086412.shannon,SRR2086412.spades55,SRR2086412.spades75,SRR2086412.trinity
1.0,0.4672,0.827,0.6526,0.852
0.4672,1.0,0.481,0.647,0.4644
0.827,0.481,1.0,0.6916,0.7536
0.6526,0.647,0.6916,1.0,0.6324
0.852,0.4644,0.7536,0.6324,1.0
