ERR058009.orthomerged,ERR058009.shannon,ERR058009.spades55,ERR058009.spades75,ERR058009.trinity
1.0,0.7668,0.8208,0.814,0.843
0.7668,1.0,0.7192,0.7658,0.718
0.8208,0.7192,1.0,0.8184,0.81
0.814,0.7658,0.8184,1.0,0.7858
0.843,0.718,0.81,0.7858,1.0
