DRR030368.orthomerged,DRR030368.shannon,DRR030368.spades55,DRR030368.spades75,DRR030368.trinity
1.0,0.48,0.7176,0.6982,0.7934
0.48,1.0,0.42,0.4592,0.4448
0.7176,0.42,1.0,0.7578,0.741
0.6982,0.4592,0.7578,1.0,0.7086
0.7934,0.4448,0.741,0.7086,1.0
