DRR053698.orthomerged,DRR053698.shannon,DRR053698.spades55,DRR053698.spades75,DRR053698.trinity
1.0,0.6122,0.8088,0.7276,0.8256
0.6122,1.0,0.6036,0.7096,0.594
0.8088,0.6036,1.0,0.7326,0.7708
0.7276,0.7096,0.7326,1.0,0.6952
0.8256,0.594,0.7708,0.6952,1.0
